name,lon,lat
大石バス停,130.18592578110577,33.565658947371524
道目木バス停,130.17788402058318,33.56122429237465
相川バス停,130.16903868910572,33.5604020273122
小富士東バス停,130.16382204388378,33.561221655755965
小富士バス停,130.15776744104437,33.56116097945594
御床バス停,130.1526980649411,33.56274266731396
二ツ橋バス停,130.14577532478881,33.56370923784718
松原（芥屋線）バス停,130.13857225247932,33.565792296694106
引津小学校バス停,130.13781970016964,33.56665775532096
新町バス停,130.13184624499456,33.56946105093147
元村バス停,130.12794182493656,33.57120417607917
岐志バス停,130.1245626728603,33.57431316941472
芥屋支所バス停,130.12325165624281,33.57706371611144
芥屋グラウンドバス停,130.12280654748042,33.58323367333568
窯元前バス停,130.1213229044763,33.586543132285925
東口バス停,130.11620020518478,33.5896540487104
